country,iso_code,id_day_vaccinations,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Mexico,MEX,1,24/12/2020,2924,2924,0,0,0,0,0,0,0,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,2,25/12/2020,2924,2924,0,0,1300,0,0,0,10,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,3,26/12/2020,2924,2924,0,0,1300,0,0,0,10,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,4,27/12/2020,6824,6824,0,0,1300,0.01,0.01,0,10,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,5,28/12/2020,9579,9579,0,2755,1664,0.01,0.01,0,13,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,6,29/12/2020,18529,18529,0,8950,3121,0.01,0.01,0,24,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,7,30/12/2020,24998,24998,0,6469,3679,0.02,0.02,0,28,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,8,31/12/2020,31467,24998,0,6469,3695,0.02,0.02,0,28,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,9,01/01/2021,37936,24998,0,6469,4051,0.02,0.02,0,31,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,10,02/01/2021,44405,24998,0,6469,4407,0.02,0.02,0,34,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,11,03/01/2021,50874,24998,0,6469,4763,0.02,0.02,0,37,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,12,04/01/2021,43960,43960,0,6469,4912,0.03,0.03,0,38,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,13,05/01/2021,48236,48236,0,4276,4244,0.04,0.04,0,33,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,14,06/01/2021,53185,53185,0,4949,4027,0.04,0.04,0,31,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,15,07/01/2021,58402,58402,0,5217,4230,0.04,0.04,0,32,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,16,08/01/2021,67468,67468,0,9066,4984,0.05,0.05,0,38,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,17,09/01/2021,74794,74794,0,7326,5488,0.06,0.06,0,42,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,18,10/01/2021,81300,81300,0,6506,5876,0.06,0.06,0,45,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,19,11/01/2021,87060,87060,0,5760,6157,0.07,0.07,0,47,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,20,12/01/2021,92879,92879,0,5819,6378,0.07,0.07,0,49,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,21,13/01/2021,192567,192567,0,99688,19912,0.15,0.15,0,153,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,22,14/01/2021,329983,329983,0,137416,38797,0.25,0.25,0,298,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,23,15/01/2021,417375,415417,1958,87392,49987,0.32,0.32,0,384,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,24,16/01/2021,463246,461025,2221,45871,55493,0.36,0.35,0,426,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,25,17/01/2021,472142,468708,3434,8896,55835,0.36,0.36,0,429,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,26,18/01/2021,492529,485983,6546,20387,57924,0.38,0.37,0.01,445,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,27,19/01/2021,498122,488513,9609,5593,57892,0.38,0.38,0.01,444,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,28,20/01/2021,501030,489628,11402,2908,44066,0.38,0.38,0.01,338,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,29,21/01/2021,552335,534317,18018,51305,31765,0.42,0.41,0.01,244,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,30,22/01/2021,614808,594725,20083,62473,28205,0.47,0.46,0.02,217,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,31,23/01/2021,618768,596296,22472,3960,22217,0.48,0.46,0.02,171,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,32,24/01/2021,629626,604441,25185,10858,22498,0.48,0.46,0.02,173,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,33,25/01/2021,645105,616390,28715,15479,21797,0.5,0.47,0.02,167,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,34,26/01/2021,652319,621005,31314,7214,22028,0.5,0.48,0.02,169,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,35,27/01/2021,656044,624730,31314,3725,22145,0.5,0.48,0.02,170,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,36,28/01/2021,657842,626528,31314,1798,15072,0.51,0.48,0.02,116,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,37,29/01/2021,662217,630820,31397,4375,6773,0.51,0.48,0.02,52,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,38,30/01/2021,670307,631298,39009,8090,7363,0.51,0.48,0.03,57,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,39,31/01/2021,673327,631485,41842,3020,6243,0.52,0.48,0.03,48,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,40,01/02/2021,675202,631747,43455,1875,4300,0.52,0.48,0.03,33,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,41,02/02/2021,677539,631791,45748,2337,3603,0.52,0.49,0.04,28,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,42,03/02/2021,686601,632439,54162,9062,4365,0.53,0.49,0.04,34,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
